water,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100
16.5499992,2.3603799,2.35396,2.3477199,2.34167,2.33587,2.3303599,2.32517,2.3203299,2.31583,2.3116801,2.30791,2.3045001,2.3015001,2.2989101,2.2968001,2.2952299,2.29421,2.2938199,2.29406,2.29492,2.29633,2.2982001,2.3004601,2.3030701,2.30601,2.3092301,2.31267,2.3162401,2.3198199,2.32322,2.32619,2.32844,2.3297801,2.3301501,2.3295801,2.3282001,2.3261499,2.32356,2.3206,2.31742,2.3141999,2.31106,2.30813,2.3055401,2.3034701,2.3022101,2.30198,2.3029699,2.3054199,2.3095701,2.31569,2.32406,2.33478,2.34761,2.36202,2.3773899,2.3931899,2.4091501,2.4252701,2.44157,2.4579899,2.4744101,2.4906101,2.50632,2.5211701,2.53478,2.5467701,2.55689,2.5650702,2.5713801,2.5759501,2.5789399,2.5805001,2.58078,2.5799201,2.5780401,2.5753,2.57183,2.56778,2.56321,2.5581701,2.55269,2.5468102,2.54053,2.5338202,2.52666,2.5190701,2.5111101,2.5028801,2.4944501,2.4858799,2.4772201,2.4684801,2.4597101,2.45101,2.44244,2.4340301,2.42577,2.41766,2.4096401
20.1399994,2.3629699,2.3565099,2.35024,2.3441401,2.3382399,2.3325901,2.32728,2.3222899,2.3176501,2.31337,2.3094599,2.3059499,2.30285,2.30019,2.2980499,2.2964699,2.29547,2.2951,2.29532,2.29615,2.2975001,2.2992699,2.30142,2.30387,2.3066201,2.30967,2.31299,2.3164899,2.32005,2.3235199,2.3266799,2.3292899,2.33112,2.3320799,2.33219,2.33161,2.3304701,2.3288901,2.32705,2.32512,2.3232701,2.32164,2.3203499,2.31952,2.31933,2.32004,2.3219199,2.3252001,2.3301501,2.33706,2.3462501,2.3580401,2.3724401,2.3889999,2.4069099,2.4252701,2.4433601,2.4609001,2.47787,2.49439,2.51055,2.52632,2.54161,2.5562,2.5697999,2.5820601,2.5927,2.60151,2.6084299,2.6135499,2.61696,2.61883,2.6193299,2.6185601,2.6166501,2.6137199,2.60991,2.60535,2.6001601,2.59442,2.58816,2.58145,2.5743399,2.56687,2.5590501,2.5508499,2.54228,2.53338,2.5242801,2.5150399,2.5057001,2.4962499,2.4867501,2.4772701,2.46788,2.4586799,2.4496601,2.4408,2.4321001,2.4235699
20.8799992,2.14713,2.1417201,2.13644,2.13131,2.12637,2.12163,2.11711,2.1128299,2.10883,2.1050899,2.10162,2.0984299,2.0955501,2.0929899,2.0908101,2.08903,2.0876701,2.0867901,2.08637,2.0864,2.0868101,2.0875399,2.0885501,2.0897901,2.09127,2.0929599,2.09483,2.0968299,2.0988801,2.1008601,2.1025801,2.1038499,2.1045301,2.10463,2.1041801,2.1032801,2.1020401,2.10057,2.09902,2.0975101,2.0961499,2.0950301,2.0942099,2.09378,2.0938699,2.0946801,2.09638,2.09918,2.1032901,2.1089599,2.1164601,2.12603,2.13765,2.1509299,2.16517,2.17962,2.1936901,2.20716,2.2200999,2.23262,2.2448001,2.25664,2.26807,2.27895,2.2890601,2.29813,2.3059201,2.3122501,2.3171,2.3205199,2.3226099,2.3234899,2.3232601,2.3220601,2.3199701,2.3171,2.31356,2.30949,2.30497,2.3000801,2.2948301,2.2892499,2.28337,2.27718,2.2706599,2.2637901,2.2565999,2.24915,2.24155,2.23384,2.2260599,2.21822,2.2103601,2.2025299,2.1947899,2.1871901,2.17977,2.1725199,2.1654201,2.1584501
18.0599995,2.2232101,2.2172899,2.2114899,2.2058401,2.20035,2.19504,2.18993,2.18503,2.1803701,2.17594,2.17173,2.1677499,2.164,2.1605101,2.15733,2.15447,2.1519899,2.1499,2.14821,2.14694,2.1460299,2.1454301,2.1451001,2.14498,2.1450801,2.14536,2.1458001,2.1463399,2.1468799,2.14732,2.1475,2.1472299,2.14641,2.145,2.14307,2.1407199,2.1380601,2.13518,2.1322,2.12919,2.12626,2.1234601,2.1208701,2.11853,2.11656,2.1151299,2.1143999,2.1145201,2.1156499,2.11795,2.12163,2.1268899,2.13379,2.1420801,2.15136,2.16114,2.171,2.1807699,2.1904299,2.2000401,2.20959,2.2190599,2.2283299,2.2372501,2.24561,2.25316,2.2597101,2.26507,2.2692001,2.27213,2.2739301,2.2747099,2.27457,2.2736001,2.2718899,2.26951,2.2666099,2.2632899,2.25963,2.2557001,2.2515099,2.2470601,2.2423601,2.23737,2.2320299,2.22633,2.2202799,2.2139699,2.2074699,2.20084,2.1941099,2.18732,2.18046,2.1735799,2.16676,2.1600499,2.15346,2.14698,2.14061,2.13432
17.7800007,2.3036799,2.2972,2.2908599,2.2846799,2.2786801,2.2728801,2.2673001,2.26196,2.25688,2.2520299,2.2474501,2.2431099,2.2390399,2.23527,2.2318101,2.2287199,2.2260201,2.2237699,2.2219601,2.2206199,2.2196701,2.21907,2.21873,2.2186401,2.2187901,2.21913,2.21965,2.2202599,2.22088,2.2214,2.2216301,2.22137,2.22048,2.2189701,2.2168701,2.2143199,2.21141,2.20824,2.2049301,2.2016001,2.1983399,2.19522,2.1923001,2.1896501,2.1874101,2.18576,2.18489,2.1849201,2.1860499,2.1884601,2.1923599,2.1979599,2.2053001,2.21417,2.2241101,2.2346201,2.24524,2.2558,2.2662799,2.27672,2.2871201,2.29743,2.30756,2.3173499,2.32654,2.3348999,2.34216,2.34816,2.35286,2.3562601,2.3584299,2.3594899,2.35954,2.3587,2.3570299,2.35463,2.35162,2.34817,2.3443501,2.34022,2.3357899,2.33108,2.3260801,2.32075,2.3150601,2.30899,2.3025401,2.29579,2.28883,2.2817299,2.2745399,2.2672601,2.2599101,2.2525501,2.24524,2.23804,2.2309799,2.2240601,2.2172401,2.21049
15.8100004,2.3418801,2.3350799,2.3284299,2.32196,2.31569,2.3096399,2.3038599,2.2983699,2.29318,2.28829,2.28371,2.27946,2.2755301,2.27198,2.2688301,2.26615,2.2639699,2.2623301,2.26123,2.2606699,2.2605901,2.2609601,2.2616701,2.2626901,2.2639999,2.2655599,2.26736,2.2693,2.27123,2.27303,2.2744501,2.27528,2.2753401,2.27455,2.2729599,2.2706699,2.2678299,2.2645199,2.2609,2.2571101,2.2532899,2.2495799,2.2460499,2.2428401,2.2401099,2.23809,2.237,2.23703,2.2383599,2.24121,2.2458301,2.25249,2.2612901,2.2720001,2.2841601,2.29721,2.3106799,2.3243599,2.3382301,2.3522801,2.3664899,2.3807299,2.39481,2.4084799,2.4213901,2.4331901,2.4435501,2.45223,2.4592199,2.46453,2.46825,2.47054,2.47154,2.4714,2.4702101,2.46808,2.4651599,2.46158,2.45748,2.4528899,2.44787,2.4424701,2.4367001,2.4305601,2.4240401,2.41711,2.40978,2.4021101,2.3942199,2.3861799,2.378,2.3696899,2.36133,2.3529301,2.34462,2.3364301,2.3283901,2.3204899,2.3127201,2.3050699
15.6999998,2.3280501,2.32113,2.3143401,2.30774,2.3013699,2.2952199,2.28932,2.2837,2.2783999,2.2734001,2.2687101,2.2643499,2.26033,2.25668,2.2534199,2.2506299,2.2483301,2.2465899,2.2453899,2.24474,2.24458,2.2448299,2.24545,2.2463801,2.2476001,2.24909,2.2508001,2.25264,2.2544999,2.2561901,2.2575099,2.25822,2.2581301,2.25721,2.2554801,2.2530601,2.2500501,2.2465501,2.2427399,2.23876,2.23474,2.2307999,2.22703,2.2235701,2.2206001,2.2183399,2.217,2.2167599,2.21784,2.2204299,2.2247901,2.2311301,2.2395601,2.2498701,2.2616301,2.2743201,2.2874601,2.3008399,2.31445,2.32828,2.34231,2.35642,2.37041,2.3840301,2.39695,2.4088299,2.4193201,2.42817,2.4353499,2.44087,2.44486,2.4474101,2.4486699,2.4487801,2.4478199,2.44591,2.4432001,2.4398301,2.43591,2.4314899,2.42663,2.42137,2.41575,2.40973,2.4033,2.3964601,2.38921,2.3816299,2.3738,2.3657701,2.35761,2.3493099,2.34093,2.33255,2.3242199,2.316,2.30791,2.2999799,2.2921801,2.2844701
15.7200003,2.31458,2.3078699,2.3013201,2.29492,2.2887201,2.2827401,2.27702,2.27158,2.2664299,2.26158,2.25703,2.25279,2.2488699,2.2453101,2.2421601,2.23946,2.2372301,2.2355399,2.2344,2.2337999,2.23367,2.2339499,2.23457,2.2355199,2.2367501,2.23825,2.23996,2.2417901,2.2436399,2.2453401,2.2467,2.2474501,2.2474301,2.2465801,2.24494,2.24262,2.2397201,2.2363501,2.2326701,2.2288001,2.22491,2.2210901,2.2174401,2.2140901,2.21122,2.2090499,2.2077899,2.2076101,2.2086999,2.2112801,2.21559,2.2218599,2.2302001,2.2403901,2.2520001,2.2645099,2.2774701,2.2906399,2.3040199,2.31761,2.3313799,2.34519,2.35887,2.37217,2.3847899,2.3963799,2.40661,2.41523,2.4222,2.4275501,2.43138,2.43382,2.4349999,2.43505,2.4340601,2.4321499,2.42946,2.42612,2.42224,2.4178801,2.41308,2.4078801,2.4023399,2.39642,2.39012,2.3833899,2.3762701,2.36882,2.36113,2.35326,2.3452401,2.3371,2.3288801,2.3206501,2.3124599,2.3043799,2.2964501,2.28866,2.2809701,2.2733901
18.1599998,2.12517,2.11953,2.1140499,2.1087501,2.1036501,2.0987899,2.0941999,2.08986,2.08584,2.08213,2.0787599,2.0757101,2.0729899,2.0706601,2.0687699,2.0673499,2.0664201,2.06603,2.06618,2.0668499,2.0679901,2.06949,2.07131,2.07342,2.07581,2.07846,2.0813301,2.0843301,2.0873799,2.0903299,2.0929599,2.0950301,2.09637,2.09692,2.0966899,2.0958099,2.0943999,2.0925601,2.09044,2.0881801,2.0859301,2.0838101,2.0819099,2.0803699,2.07934,2.0790601,2.0797501,2.08161,2.0848601,2.08972,2.0964501,2.1052899,2.1163199,2.12922,2.14342,2.1582501,2.1731601,2.1879001,2.2024601,2.2169199,2.2312701,2.24544,2.25933,2.2727299,2.2853701,2.2969301,2.3071101,2.31568,2.3226199,2.32794,2.3317499,2.3341701,2.33534,2.3353601,2.3343401,2.3324001,2.3296399,2.32622,2.3222301,2.31774,2.3127899,2.30744,2.3017299,2.29567,2.2892499,2.28245,2.27529,2.2678299,2.26016,2.2523301,2.2444,2.2363701,2.2282901,2.2202001,2.2121799,2.2042999,2.1965699,2.1889901,2.18154,2.1742101
19.9400005,2.1362,2.1307101,2.12535,2.1201701,2.11516,2.1103401,2.1057601,2.10145,2.09741,2.0936501,2.0901699,2.0869801,2.08411,2.0815599,2.07939,2.0776401,2.07636,2.0755801,2.07528,2.0754399,2.07601,2.0769401,2.07816,2.0796299,2.0813501,2.0832901,2.0854101,2.0876701,2.0899799,2.09218,2.09409,2.09551,2.0962901,2.09641,2.09588,2.09483,2.09337,2.0915999,2.0896599,2.0876801,2.0857999,2.08411,2.08269,2.08164,2.0811,2.08126,2.08233,2.0845001,2.08797,2.0929699,2.0997601,2.1085401,2.11936,2.13187,2.1454699,2.1594501,2.17329,2.1867599,2.1998801,2.2127199,2.2253499,2.23772,2.2497699,2.2613301,2.2721801,2.2820599,2.2906899,2.29791,2.3036699,2.3080101,2.3109901,2.3127401,2.31336,2.3129699,2.3116601,2.30953,2.30669,2.3032701,2.29936,2.2950499,2.29036,2.2853301,2.2799499,2.27424,2.2681799,2.26175,2.2549701,2.24791,2.2406399,2.2332401,2.2257299,2.2181401,2.2105,2.2028599,2.1952901,2.18784,2.1805501,2.1734099,2.16641,2.1595199
